"Submitted","Product_name","Company","Company_other","Formulation","Formulation_other","AI_English","AI_English2","percentage","percentage2","Biocontrol","registration_number","FRAC","FRAC2","warning","Targetdiseases","disease_Suppress","targetdiseases_alt","lower_dose","targetdiseases_other","Disease_Suppress_other","higher_dose","Unitofapplication","unit_of_application_alt","recommended_dose","REI","REI2","PHI","PHI2","application_number","total_application","application_number2","total_application2","application_method","application_method_alt","Comments","price_estimate","Comments_Mizuho","Referencewebpage","labeldate","File","Page Title","FLabel","FSDS","Submitted Login","Submitted From",
"2017-12-11 15:47:35 +00:00","Serenade Opti	","Bayer CropScience","","No descriptions","N/A","QST 713 strain of Bacillus subtilis","","26.2","","Yes","264-1160","44","","Caution","Botrytis, Phomopsis (aka dead arm), Powdery mildew, Sour rot","","","14","","","20","oz","","17","4","","0","","0","0","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2017-03-01","","Grape Fungicide Entry Form (US)","Serenade_Opti_Label.pdf","Serenade_Opti1e_MSDS.pdf","","204.111.240.50",
"2017-12-11 15:43:20 +00:00","Serenade MAX	","Bayer CropScience","","No descriptions","N/A","QST 713 strain of Bacillus subtilis","","14.6","","Yes","264-1151","44","","Caution","Botrytis, Downy mildew, Phomopsis (aka dead arm), Powdery mildew, Sour rot","","","1","","","3","lb","","2","4","","0","","0","0","","","Spray application (Air), Soil application (drench), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2013-04-01","","Grape Fungicide Entry Form (US)","Serenade_MAX_Label.pdf","Serenade_MAX_MSDS.pdf","","204.111.240.50",
"2017-12-11 15:18:17 +00:00","Serenade ASO	","Bayer CropScience","","No descriptions","Suspension","QST 713 strain of Bacillus subtilis","","1.34","","Yes","264-1152","44","","Caution","Armillaria, Fusarium, Verticillium, Other","","","2","Phytophthora","Rhizoctonia","4","qt","","3","4","","0","","0","0","","","Soil application (drench)","","","1","","https://home.agrian.com/","2016-04-01","","Grape Fungicide Entry Form (US)","Serenade_ASO1_Label.pdf","Serenade_ASO_MSDS.pdf","","204.111.240.50",
"2017-12-11 15:18:13 +00:00","Serenade ASO	","Bayer CropScience","","Other","Suspension","QST 713 strain of Bacillus subtilis","","1.34","","Yes","264-1152","44","","Caution","Black rot, Botrytis, Downy mildew, Phomopsis (aka dead arm), Powdery mildew, Sour rot","","","2","","","4","qt","","3","4","","0","","0","0","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2016-04-01","","Grape Fungicide Entry Form (US)","Serenade_ASO1_Label.pdf","Serenade_ASO_MSDS.pdf","","204.111.240.50",
"2017-12-11 15:01:48 +00:00","Yellow Jacket Wettable Sulfur II	","Others","Georgia Gulf Sulfur Corporation","No descriptions","N/A","Sulfur","","90","","No","6325-13","M2","","Caution","Powdery mildew","","","3.8","","","25","lb","","14","24","","0","","0","0","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2017-05-04","","Grape Fungicide Entry Form (US)","Yellow-Jacket-Wettable-Sulfur-II-.pdf","Yellow-Jacket-SDS.pdf","","204.111.240.50",
"2017-12-11 14:55:01 +00:00","TurfShield PLUS WP	","BioWorks","","No descriptions","N/A","Trichoderma harzianum Rifai strain T-22","Trichoderma virens strain G-41 ","1.15","0.61","Yes","68539-9","NC","NC","Caution","Fusarium, Other","","","3","Pythium","Phytophthora, Rhizoctonia","8","oz, other","per 1000 sq ft.","5.5","4","","0","","0","0","","","Soil application (drench)","","For plants that could bear food commodities: Do not apply product when above-ground harvestable food commodities are present.","1","","https://home.agrian.com/","2014-03-21","","Grape Fungicide Entry Form (US)","TurfShield_PLUS_WP_Label.pdf","TurfShield_PLUS_WP_MSDS.pdf","","204.111.240.50",
"2017-12-11 14:40:44 +00:00","Topguard Fungicide Specialty Crops	","FMC Corporation","","Other","Suspension","Flutriafol","","11.8","","No","279-3557","3","","Caution","Black rot, Powdery mildew","","","8","","","10","fl oz","","9","120 (girdling or turning of grapes)","12 (for other activities)","14","","6","60","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2017-02-10","","Grape Fungicide Entry Form (US)","TOPGUARD1_Label.pdf","TOPGUARD_MSDS.pdf","","204.111.240.50",
"2017-12-06 19:03:52 +00:00","OxiPhos	","Others","BioSafe Systems","Concentrate solutions (C or LC)","N/A","Mono- and di-potassium salts of Phosphorous Acid","Hydrogen Peroxide","27.1","14","No","70299-22","33","","Danger","Downy mildew, Powdery mildew","","","2.5","","","5","qt","","3.75","4","","0","","0","0","","","Spray application (Air)","","","1","","https://home.agrian.com/","2014-07-24","","Grape Fungicide Entry Form (US)","OxiPhos_Label.pdf","OxiPhos_MSDS.pdf","","204.111.240.50",
"2017-12-06 18:58:50 +00:00","OxiDate 2.0	","Others","BioSafe Systems","Concentrate solutions (C or LC)","N/A","Hydrogen dioxide","Peroxyacetic Acid","27.1","2","No","70299-12","N/A","N/A","Danger","Black rot, Botrytis, Downy mildew, Powdery mildew, Sour rot","","","1:200 (Preventative)","","","1:400","fl oz","","1:300","0","","0","","0","0","","","Spray application (Air), Soil application (drench), Chemigation/irrigation, Aerial","","Curative dilution rate is 1:100","1","","https://home.agrian.com/","0001-01-01","","Grape Fungicide Entry Form (US)","OxiDate_2.0_Label.pdf","OxiDate_2.0_MSDS.pdf","","204.111.240.50",
"2017-12-06 18:46:44 +00:00","OSO 5%SC	","Certis USA","","No descriptions","N/A","Polyoxin D zinc salt","","5","","No","68173-4-70051","19","","Caution","Botrytis, Powdery mildew","","","3.75","","","13","fl oz","","8","4","","7","","6","4.2 oz. a.i.","","","Spray application (Air), Soil application (drench), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2012-10-05","","Grape Fungicide Entry Form (US)","OSO_5SC_Label.pdf","OSO5SC_MSDS.pdf","","204.111.240.50",
"2017-12-06 18:39:46 +00:00","Orius 20AQ	","Makhteshim Agan","","Emulsifiable Concentrates (EC or E)","N/A","Tebuconazole: alpha","","20","","No","66222-128","3","","Caution","Black rot, Powdery mildew","","","8.6","","","8.6","oz","","8.6","12","","14","","0","68.8","","","Spray application (Air), Aerial","","","1","","https://home.agrian.com/","2010-04-23","","Grape Fungicide Entry Form (US)","Orius_20AQ_Label.pdf","Orium20AQ_MSDS.pdf","","204.111.240.50",
"2017-12-06 18:33:35 +00:00","Omni Brand T-METHYL 70 WP	","Helena Chemical","","Soluble Powders (SP or WSP)","N/A","Thiophanate-methyl ","","70","","No","87373-6-5905 ","1","","Caution","Botrytis, Powdery mildew","","","1","","","1.5","lb","","1.25","48","","7","","0","6","","","Spray application (Air), Aerial","","","1","","https://home.agrian.com/","2016-07-12","","Grape Fungicide Entry Form (US)","Omni-Brand-T-Methyl-70-WP-Label.pdf","Omni_Brand_T-METHYL1_70_WP__MSDS.pdf","","204.111.240.50",
"2017-12-06 18:28:31 +00:00","Nufarm T-Methyl 70 WSB	","NuFarm Americas","","Other","water soluble packets","Thiophanate-methyl ","","70","","No","228-655","1","","Caution","Bitter rot, Black rot, Powdery mildew","","","0.75","","","1.5","lb","","1.2","48","","7","","0","6","","","Spray application (Air), Aerial","","","1","","https://home.agrian.com/","2011-06-24","","Grape Fungicide Entry Form (US)","Nufarm1a_T-Methyl_70_WSB_Label.pdf","Nufarm1a_T-Methyl_70_WSB_MSDS.pdf","","204.111.240.50",
"2017-12-06 18:28:27 +00:00","Nufarm T-Methyl 70 WSB	","NuFarm Americas","","Other","water soluble packets","Thiophanate-methyl ","","70","","No","228-655","1","","Caution","Botrytis, Powdery mildew","","","1","","","1.5","lb","","1.25","48","","7","","0","6","","","Spray application (Air), Aerial","","","1","","","2011-06-24","","Grape Fungicide Entry Form (US)","Nufarm1a_T-Methyl_70_WSB_Label.pdf","Nufarm1a_T-Methyl_70_WSB_MSDS.pdf","","204.111.240.50",
"2017-12-06 18:19:26 +00:00","Nu-Cop XLR	","Albaugh","","Other","Water Soluble Liquid","Copper Hydroxide","","17.06","","No","42750-217","M1","","Caution","Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew","","","1.8","","","24.0","pt","","12.4","48","","0","","0","160","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2015-10-12","","Grape Fungicide Entry Form (US)","Nu-Cop-XLR_Label.pdf","Nu-CopXLR_MSDS.pdf","","204.111.240.50",
"2017-12-06 18:07:08 +00:00","Nu-Cop HB	","Albaugh","","Water-Dispersible Granules or Dry Flowables (WDG or DF)","N/A","Copper Hydroxide","","77","","No","42750-132 ","M1","","Danger","Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew","","","1","","","3","fl oz","","2","48","","0","","0","40","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","0001-01-01","","Grape Fungicide Entry Form (US)","Nu-Cop-HB_Label.pdf","Nu-CopHB_MSDS.pdf","","204.111.240.50",
"2017-12-06 17:59:05 +00:00","Nu-Cop 50 DF	","Albaugh","","Water-Dispersible Granules or Dry Flowables (WDG or DF)","N/A","Copper Hydroxide","","76.77","","No","45002-4 ","M1","","Danger","Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew","","","2","","","6","fl oz, lb","","4","48","","0","","0","40","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2014-02-02","","Grape Fungicide Entry Form (US)","Cop-50-DF_Label.pdf","Nu-Cop50DF_MSDS.pdf","","204.111.240.50",
"2017-12-06 17:53:21 +00:00","Nu-Cop 3L	","Albaugh","","Flowables (F or L)","N/A","Copper Hydroxide","","37.5","","No","42750-75 ","M1","","Danger","Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew","","","1.33","","","3.75","pt","","2.25","48","","0","","3","52.75","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2014-06-03","","Grape Fungicide Entry Form (US)","Nu-Cop-3L_Label.pdf","Nu-Cop3L_MSDS.pdf","","204.111.240.50",
"2017-12-06 17:47:45 +00:00","Nu-Cop 30 HB	","Albaugh","","Dusts (D)","N/A","Copper Hydroxide","","46.1","","No","42750-281","M1","","Warning","Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew","","","0.75","","","2","lb","","1.6","48","","0","","3","66.7","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","0001-01-01","","Grape Fungicide Entry Form (US)","Nu-Cop-30_Label.pdf","Nu-Cop30HB_MSDS.pdf","","204.111.240.50",
"2017-12-06 17:38:12 +00:00","Nordox 75 WG	","NORDOX A S","","Other","Wettable Granule","Cuprous Oxide","","83.9","","No","48142-4","M1","","Caution","Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew","","","1.25","","","1.25","lb","","1.25","12","","0","","0","0","","","Spray application (Air)","","","1","","https://home.agrian.com/","0001-12-07","","Grape Fungicide Entry Form (US)","Nordox75WG_Label.pdf","Nordox_75_WG_MSDS.pdf","","204.111.240.50",
"2017-12-06 17:27:42 +00:00","Nevado 4F	","Makhteshim Agan","","No descriptions","N/A","Iprodione","","41.6","","No","66222-144","2","","Caution","Botrytis","","","1.5","","","2.0","pt","","1.75","48","","7","","4","0","","","Spray application (Air), Chemigation/irrigation","","Recommended Treatment Timings – use the rates
noted in the APPLICATION RATE column:
1) Early to mid-bloom
2) Prior to bunch closing
3) Beginning of fruit ripening (veriason)
4) Final application prior to harvest as needed","1","","https://home.agrian.com/","2008-09-16","","Grape Fungicide Entry Form (US)","Nevado4F_Label.pdf","Nevado_4F_MSDS.pdf","","204.111.240.50",
"2017-12-06 17:20:23 +00:00","Myclobutanil 20 EW T&O	","Makhteshim Agan","","No descriptions","N/A","Myclobutanil","","19.7","","No","66222-185","3","","Caution","Anthracnose, Black rot, Powdery mildew","","","6","","","10","fl oz","","8","24","","14","","0","46","","","Spray application (Air), Chemigation/irrigation","","","1","","https://home.agrian.com/","2009-07-01","","Grape Fungicide Entry Form (US)","Myclobutanil_Label.pdf","Myclobutanil_MSDS.pdf","","204.111.240.50",
"2017-12-06 17:10:46 +00:00","MilStop	","BioWorks","","No descriptions","N/A","Potassium Bicarbonate","","85","","No"," 70870-1-68539","NC","","Caution","Powdery mildew","","","2","","","5","lb","","3.5","1","","0","","0","5","","","Spray application (Air), Soil application (drench)","","","1","","https://home.agrian.com/","2013-08-11","","Grape Fungicide Entry Form (US)","MilStop_Label.pdf","MilStop_MSDS.pdf","","204.111.240.50",
"2017-12-06 16:42:54 +00:00","Miller Sulforix	","Miller Chemical and Fertlizer","","Concentrate solutions (C or LC)","N/A","Calcium Polysulfide","","27.5","","No","61842-31-90930","NC","","Danger","Phomopsis (aka dead arm), Powdery mildew, Other","","","1","Twig Blight","","1","pt","","1","48","","0","","0","0","","","Spray application (Air), Chemigation/irrigation, Aerial",""," During the DORMANT/DELAYED DORMANT period PRIOR to BUD SWELL apply a single application at 1 to 2 gallons of SULFORIX per acre in sufficient water for thorough coverage.  Or apply 1 pint SULFORIX plus 4 pounds wettable sulfur in 100 gallons water","1","","https://home.agrian.com/","2015-08-15","","Grape Fungicide Entry Form (US)","Miller_Sulforix_Label.pdf","Miller_Sulforix_MSDS.pdf","","204.111.240.50",
"2017-12-06 16:13:54 +00:00","Mildew Cure	","JH Biotech","","Emulsifiable Concentrates (EC or E)","N/A","Cottonseed Oil ","Corn Oil","30","30","No","N/A","NC","NC","Caution","Powdery mildew","","","1.5 (Final mix volume is 1 gallon)","","","1.5","fl oz","","1.5","0","","0","","0","0","","","Spray application (Air)","","Apply no more than once in a 7 day period. ","1","","https://home.agrian.com/","2017-01-27","","Grape Fungicide Entry Form (US)","Mildew_Cure_Label.pdf","Mildew_Cure_MSDS.pdf","","204.111.240.50",
"2017-12-06 16:06:09 +00:00","Microthiol Disperss	","United Phosphorus Inc (UPI)","","Water-Dispersible Granules or Dry Flowables (WDG or DF)","N/A","Sulfur (S)","","80","","No","70506-187","M2","","Caution","Phomopsis (aka dead arm), Powdery mildew","","","3","","","10","lb","","6.5","24","","0","","0","0","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2010-03-12","","Grape Fungicide Entry Form (US)","MicrothiolDisperss_Label.pdf","Microthiol_Disperss_MSDS.pdf","","204.111.240.50",
"2017-12-06 15:59:47 +00:00","Microfine Sulfur	","Loveland Products","","No descriptions","N/A","Sulfur","","90","","No","6325-13-34704","M2","","Caution","Powdery mildew","","","1.6","","","6.0","lb","","4.1","24","","0","","0","0","","","Spray application (Air), Aerial, other","ground dusting","","1","","https://home.agrian.com/","2013-04-09","","Grape Fungicide Entry Form (US)","MicrofineSulfur_Label.pdf","MicrofineSulfur_MSDS.pdf","","204.111.240.50",
"2017-12-06 15:51:36 +00:00","Micro Sulf	","NuFarm Americas","","No descriptions","N/A","Sulfur","","80","","No","55146-75","M2","","Caution","Phomopsis (aka dead arm), Powdery mildew","","","3","","","10","lb","","6.5","24","","0","","0","0","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2011-05-24","","Grape Fungicide Entry Form (US)","Micro_Sulf_Label.pdf","Micro_Sulf_MSDS.pdf","","204.111.240.50",
"2017-12-06 15:40:44 +00:00","Mettle 125 ME	","Isagro USA","","Concentrate solutions (C or LC)","N/A","Tetraconazole","","11.6","","No","80289-8 ","3","","Caution","Anthracnose, Black rot, Powdery mildew","","","3","","","5","fl oz","","4","12","","14","","3","10","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","0001-01-01","","Grape Fungicide Entry Form (US)","Mettle125ME_Label.pdf","Mettle125ME_MSDS.pdf","","204.111.240.50",
"2017-12-06 15:40:17 +00:00","Mettle 125 ME	","Isagro USA","","Concentrate solutions (C or LC)","N/A","Tetraconazole","","11.6","","No","80289-8 ","3","","Caution","Botryosphaeria, Eutypa (aka dead arm), Other","","","5","Phaeoacremonium aleophilum","Phaeomoniella chlamydospora","5","fl oz","","5","12","","14","","2","10","","","Spray application (Air), Chemigation/irrigation, Aerial","","Apply as a directed spray within 24 hours of pruning
at 5 oz per acre in 25 to 50 gallons of water ensuring
adequate coverage. ","1","","https://home.agrian.com/","0001-01-01","","Grape Fungicide Entry Form (US)","Mettle125ME_Label.pdf","Mettle125ME_MSDS.pdf","","204.111.240.50",
"2017-12-06 15:27:55 +00:00","Meteor	","United Phosphorus Inc (UPI)","","No descriptions","N/A","Iprodione","","41.6","","No","70506-243","2","","Caution","Botrytis","","","1.5","","","2","pt","","1.75","48","","7","","4","0","","","Spray application (Air), Chemigation/irrigation, Aerial","","1.0 - 2.0 pts./A at early to mid-bloom","1","","https://home.agrian.com/","2015-07-01","","Grape Fungicide Entry Form (US)","Meteor_Label.pdf","Meteor_MSDS.pdf","","204.111.240.50",
"2017-12-06 15:10:58 +00:00","Merivon(R) Xemium(R) Brand Fungicide	","BASF","","Other","Suspension","Fluxapyroxad","Pyraclostrobin","21.26","21.26","No","7969-310","11","7","Warning","Powdery mildew","","","4","","","5.5","fl oz","","4.75","12","","14","","6","33","","","Spray application (Air), Aerial","","DO NOT make more than two (2) sequential applications of Merivon before alternating to a labeled non-Group 7 or
non-Group 11 fungicide.","1","","https://home.agrian.com/","2016-11-28","","Grape Fungicide Entry Form (US)","Merivon_Label.pdf","Merivon_MSDS.pdf","","204.111.240.50",
"2017-12-06 14:57:47 +00:00","MasterCop	","Makhteshim Agan","","Other","Suspension","Copper sulfate pentahydrate","","21.46","","No","55272-18-66222","M1","","Danger","Powdery mildew","","","2","","","3","pt","","2.5","48","","0","","0","30","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2014-05-13","","Grape Fungicide Entry Form (US)","MasterCop_Label.pdf","MasterCop_MSDS.pdf","","204.111.240.50",
"2017-12-06 14:57:43 +00:00","MasterCop	","Makhteshim Agan","","Other","Suspension","Copper sulfate pentahydrate","","21.46","","No","55272-18-66222","M1","","Danger","Black rot, Downy mildew, Phomopsis (aka dead arm)","","","1","","","3","pt","","2","48","","0","","0","30","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2014-05-13","","Grape Fungicide Entry Form (US)","MasterCop_Label.pdf","MasterCop_MSDS.pdf","","204.111.240.50",
"2017-12-06 14:20:46 +00:00","Manzate Pro-Stick	","United Phosphorus Inc (UPI)","","Water-Dispersible Granules or Dry Flowables (WDG or DF)","N/A","Mancozeb","","75","","No","70506-234","M3","","Caution","Black rot, Botrytis, Downy mildew, Phomopsis (aka dead arm)","","","1.5","","","4","lb","","2.75","24","","66","","0","18","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2014-12-03","","Grape Fungicide Entry Form (US)","ManzateProStick_Label.pdf","Manzate_Pro-Stick_MSDS.pdf","","204.111.240.50",
"2017-12-05 18:49:31 +00:00","Manzate Max	","United Phosphorus Inc (UPI)","","No descriptions","N/A","Mancozeb","","37","","No","70506-194","M3","","Caution","Black rot, Botrytis, Downy mildew, Phomopsis (aka dead arm)","","","1.2","","","3.2","qt","","2.2","24","","66","","0","19.2","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2014-12-10","","Grape Fungicide Entry Form (US)","Manzate_Label.pdf","Manzate_Max_MSDS.pdf","","204.111.240.50",
"2017-12-05 18:43:50 +00:00","Mankocide	","Certis USA","","Water-Dispersible Granules or Dry Flowables (WDG or DF)","N/A","Copper Hydroxide","Mancozeb","46.1","15","No","91411-7-70051","M1","M3","Danger","Black rot, Downy mildew, Phomopsis (aka dead arm), Powdery mildew","","","2.5","","","2.5","lb","","2.5","48","","66","","0","66.7","","","Spray application (Air), Chemigation/irrigation, Aerial","","","1","","https://home.agrian.com/","2015-06-30","","Grape Fungicide Entry Form (US)","Mankocide_Label.pdf","Mankocide_MSDS.pdf","","204.111.240.50",
"2017-12-05 18:36:29 +00:00","M-Pede	","Gowan Company","","Concentrate solutions (C or LC)","N/A","Potassium salts of fatty acids","","49","","No","10163-324","28","","Warning","Powdery mildew","","","1.25","","","2.5","fl oz","","1.75","12","","0","","0","0","","","Spray application (Air), Aerial","","Do not mix with sulfur. Do not use within 3 days of sulfur application. ","1","","https://home.agrian.com/","2012-01-12","","Grape Fungicide Entry Form (US)","M-Pede_Label.pdf","M-Pede_MSDS.pdf","","204.111.240.50",
"2017-12-05 16:34:18 +00:00","Luna Privilege	","Bayer CropScience","","No descriptions","N/A","Fluopyram","","41.5","","No","264-1078","7","","Caution","Powdery mildew","Black rot, Eutypa (aka dead arm)","","3.2","","","6.84","fl oz","","5","12","","7","","0","13.7","","","Spray application (Air), Chemigation/irrigation, Aerial","","For foliar application, to limit the potential for development of disease resistance to this fungicide class, do not make more than 2 sequential applications of LUNA PRIVILEGE or any Group 7-containing fungicide before rotating with a fungicide from a different Group.
•For Soil Applications for resistance management the first foliar fungicide application after Luna Privilege should be from a different Group.","1","","https://home.agrian.com/","2016-04-01","","Grape Fungicide Entry Form (US)","LunaPrivilege_label.pdf","LunaPrivilege_MSDS.pdf","","204.111.240.50",
